School Name,Syllabus,Address,Website,Google Maps Direction
BVM Global Perungudi ,Central Board of Secondary Education (CBSE),"144, Corporation Rd ∑ 096770 15266",https://perungudi.bvmglobal.org/perungudi,"https://www.google.com/maps/dir//BVM+Global+Perungudi+-+Best+CBSE+Schools+in+Chennai+-+Top+10+CBSE+Schools+in+Perungudi+-+Best+CBSE+Schools+in+Perungudi,+144,+Corporation+Rd,+Seevaram,+Perungudi,+Chennai,+Tamil+Nadu+600096/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a525d061f069083:0x46eb9a4220ffcaf3?sa=X&ved=1t:57443&ictx=111",
St. Thomas Academy Senior Secondary CBSE School,Central Board of Secondary Education (CBSE),"Chennai, Tamil Nadu ∑ 082207 66633",https://www.sta-chennai.com/,"https://www.google.com/maps/dir//St.+Thomas+Academy+Senior+Secondary+CBSE+School,+Parangi+Malai,+Chennai,+Tamil+Nadu+600016/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a526749afafaf75:0x820927e48d87f57f?sa=X&ved=1t:57443&ictx=111",
Ravindra Bharathi Global School,Central Board of Secondary Education (CBSE),"100, 10th Main Rd ∑ 091500 88909",http://www.rbglobalschools.in/,"https://www.google.com/maps/dir//Ravindra+Bharathi+Global+School,+100,+10th+Main+Rd,+Ram+Nagar+South,+Pallikaranai,+Chennai,+Tamil+Nadu+600100/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a525da9e8857467:0x2acb2dbae60fe433?sa=X&ved=1t:57443&ictx=111",
ORCHIDS The International School - CBSE School in Manapakkam,Central Board of Secondary Education (CBSE),Manapakkam Main Rd ∑ 099994 31999,https://www.orchidsinternationalschool.com/chennai-branches/manapakkam/,"https://www.google.com/maps/dir//ORCHIDS+The+International+School+-+CBSE+School+in+Manapakkam,+Manapakkam+Main+Rd,+Theresa+Nagar,+Kolapakkam,+Chennai,+Tamil+Nadu+600128/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a5261e10548714b:0xd377ee658508f0b6?sa=X&ved=1t:57443&ictx=111",
Sunshine Chennai Senior Secondary School,Central Board of Secondary Education (CBSE),"86/2, Jawaharlal Nehru Salai ∑ 095661 57101",http://sunshineschool.in/,"https://www.google.com/maps/dir//Sunshine+Chennai+Senior+Secondary+School,+86%2F2,+Jawaharlal+Nehru+Salai,+AGS+Colony,+Puzhuthivakkam,+Madipakkam,+Chennai,+Tamil+Nadu+600091/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a525decce502efd:0xd6d9ee605fb65ea9?sa=X&ved=1t:57443&ictx=111",
Narayana Olympiad School - Madipakkam,Central Board of Secondary Education (CBSE),"4th Main Rd, nearby Total Gas ∑ 1800 102 3344",https://branches.narayanaschools.in/narayana-school/education-in-chennai/education-in-Madipakkam/narayana-etechnoschool-in-Madipakkam-chennai--6Et5SS/home,"https://www.google.com/maps/dir//Narayana+Olympiad+School+-+Madipakkam,+4th+Main+Rd,+nearby+Total+Gas,+Hindu+Colony,+Ram+Nagar+South,+Madipakkam,+Chennai,+Tamil+Nadu+600091/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a525dc06f99a767:0x6a7e5c63134cc02?sa=X&ved=1t:57443&ictx=111",
Orchids The International School - Thoraipakkam,Central Board of Secondary Education (CBSE),"274, 8, 4th St, near COGNIZANT TCO ∑ 099994 31999",https://www.orchidsinternationalschool.com/chennai-branches/thoraipakkam,"https://www.google.com/maps/dir//274,+Orchids+The+International+School+-+Thoraipakkam,+8,+4th+St,+near+COGNIZANT+TCO,+Sri+Sowdeswari+Nagar,+Thoraipakkam,+Chennai,+Tamil+Nadu+600097/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a525d028b86c8c9:0xc76307cfef90c7d8?sa=X&ved=1t:57443&ictx=111",
ORCHIDS The International School,Central Board of Secondary Education (CBSE),"Bollineni Zion, Nookampalayam Link Rd ∑ 099994 31999",https://www.orchidsinternationalschool.com/chennai-branches/perumbakkam,"https://www.google.com/maps/dir//ORCHIDS+The+International+School,+Bollineni+Zion,+Nookampalayam+Link+Rd,+Perumbakkam,+Chennai,+Tamil+Nadu+600131/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a525bec14bb0d03:0x716023fb697a37d4?sa=X&ved=1t:57443&ictx=111",
St. Brittos Academy,Central Board of Secondary Education (CBSE),"R, 3/3, Netaji St ∑ 090420 49890",https://stbrittosacademy.edu.in/,"https://www.google.com/maps/dir//R,+St.+Britto%E2%80%99s+Academy,+3%2F3,+Netaji+St,+Velachery,+Chennai,+Tamil+Nadu+600042/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a52675c0a610833:0xca062af6de4f630?sa=X&ved=1t:57443&ictx=111",
St. John's English School and Junior College (CBSE School In Chennai),Central Board of Secondary Education (CBSE),"2, 2nd Cross St ∑ 044 2491 7411",http://sjbn.edu.in/,"https://www.google.com/maps/dir//St.+John's+English+School+and+Junior+College+(CBSE+School+In+Chennai),+2,+2nd+Cross+St,+Custom+Colony,+Besant+Nagar,+Chennai,+Tamil+Nadu+600090/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a5267fab034526d:0xa7a254987828e386?sa=X&ved=1t:57443&ictx=111",
San Academy CBSE School - Kamakoti Nagar,Central Board of Secondary Education (CBSE),"S/No.647/1 1st, &, 3rd St ∑ 099623 01111",http://www.sanacademy.edu.in/,"https://www.google.com/maps/dir//San+Academy+CBSE+School+-+Kamakoti+Nagar,+S%2FNo.647%2F1+1st,+%26,+3rd+St,+AGS+Colony,+Pallikaranai,+Chennai,+Tamil+Nadu+600100/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a525c4aefffffff:0xd93a479e22733601?sa=X&ved=1t:57443&ictx=111",
New Prince Shri Bhavani Vidyashram CBSE School,Central Board of Secondary Education (CBSE),2nd St ∑ 044 2260 3162,http://npsb.edu.in/cbse-ullagaram/,"https://www.google.com/maps/dir//New+Prince+Shri+Bhavani+Vidyashram+CBSE+School,+2nd+St,+Kundrakudi+Nagar,+Shaw+Wallace+Colony,+Adambakkam,+Chennai,+Tamil+Nadu+600088/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a525df693280133:0x8e662c62f58b8765?sa=X&ved=1t:57443&ictx=111",
AGR Global School,Central Board of Secondary Education (CBSE),"1/37F, Velachery Rd ∑ 094456 42810",http://www.agrglobalschool.org/,"https://www.google.com/maps/dir//1%2F37F,+AGR+Global+School,+Velachery+Rd,+Vijaya+Nagar,+Velachery,+Chennai,+Tamil+Nadu+600042/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a525d90a8d887c9:0x28f747eebe6fd8eb?sa=X&ved=1t:57443&ictx=111",
Narayana e-Techno School,Central Board of Secondary Education (CBSE),"New No: 90, Old, Narayana E Techno School, No: 180, 200 Feet Radial Rd, near Shell Petrol Bunk ∑ 1800 102 3344",https://www.narayanaschools.in/,"https://www.google.com/maps/dir//New+No:+90,+Old,+Narayana+e-Techno+School,+Narayana+E+Techno+School,+No:+180,+200+Feet+Radial+Rd,+near+Shell+Petrol+Bunk,+Zamin+Pallavaram,+Chennai,+Tamil+Nadu+600117/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a525e39fc8964b1:0x11e0c644cd313ff5?sa=X&ved=1t:57443&ictx=111",
